ingr,Thiamin,Vitamin B12,Vitamin B6,Protein,Riboflavin,Copper,Saturated fat,Vitamin K,Fat,Phosphorus,Dietary Fiber,Vitamin E,Pantothenic acid,Magnesium,Potassium,Sodium,Biotin,Cholesterol,Folate,Niacin,Iron,Selenium,Calcium,Total carbohydrates,Zinc,Choline,Vitamin A,Vitamin C,Vitamin D
brussel sprout,0.11583333333333334,0.0,0.1288235294117647,0.0676,0.06923076923076922,0.07777777777777778,0.0031,1.475,0.003846153846153846,0.0552,0.1357142857142857,0.058666666666666666,,0.05476190476190476,0.08276595744680851,0.010869565217391304,,0.0,0.1525,0.0465625,0.07777777777777778,0.02909090909090909,0.03230769230769231,0.032545454545454544,0.03818181818181818,0.03472727272727273,0.042222222222222223,0.9444444444444444,0.0
bulgur,,,,0.25,,,0.028499999999999998,,0.029102564102564104,,0.2857142857142857,,,,,0.004782608695652174,,0.0,,,0.0911111111111111,,0.03461538461538462,0.24363636363636362,,,,0.0,
butter,,,,0.0236,,,0.0,,0.0,,0.04285714285714286,,,,,0.0,,0.0,,,0.07055555555555555,,0.018461538461538463,0.008545454545454545,,,,0.04666666666666667,
buttermilk,,,,0.0666,,,0.020999999999999998,,0.005384615384615384,,0.0,,,,,0.07434782608695652,,0.013333333333333334,,,0.0,,0.09615384615384616,0.01970909090909091,,,,0.0,
butternut squash,,,,0.0236,,,0.0,,0.0,,0.08571428571428572,,,,,0.0,,0.0,,,0.04722222222222222,,0.036153846153846154,0.04290909090909091,,,,0.23555555555555555,
cabbage,0.008333333333333333,0.0,0.12529411764705883,0.022000000000000002,0.16153846153846152,0.026666666666666665,0.00335,0.36333333333333334,0.00641025641025641,0.0192,0.05714285714285715,0.007333333333333333,,0.03333333333333333,0.03212765957446809,0.2165217391304348,,0.0,0.13,0.06875,0.1388888888888889,0.00909090909090909,0.025384615384615384,0.008727272727272728,0.02,0.028181818181818183,0.005555555555555556,0.0,0.0
cake,,,,0.0706,,,0.53,,0.30128205128205127,,0.0,,,,0.01,0.18434782608695652,,0.08,,,0.05888888888888889,,0.018461538461538463,0.20545454545454545,,,,,
candy,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,0.36363636363636365,,,,,
cantaloupe,,,,0.015,,,0.0,,0.0,,0.024999999999999998,,,,,0.00826086956521739,,0.0,,,0.015000000000000001,,0.011538461538461539,0.032581818181818184,,,,0.39777777777777773,
caramel,,,,0.0,,,0.0,,0.08217948717948718,,,,,,,0.2008695652173913,,,,,0.0,,0.0,0.29818181818181816,,,,0.0,
caraway,0.025833333333333333,0.11250000000000002,0.04352941176470588,0.504,0.34615384615384615,0.026666666666666665,0.93,,0.37435897435897436,0.392,0.0,,0.038,0.05238095238095238,0.01978723404255319,0.3,,0.31,0.045,0.01125,0.035555555555555556,0.2636363636363636,0.5176923076923077,0.011127272727272727,0.2672727272727273,,0.3011111111111111,0.0,
